source,level,mode,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,question_type
PSR 2021,01-May,trial,The pass mark for promotion examinations in the Federal Public Service is:,50%,55%,60%,65%,C,PSR specifies that officers must score at least 60% to pass promotion exams.,psr
PSR 2021,01-May,trial,An officer placed on interdiction receives:,Full salary,Half salary,No salary,Bonus allowance,B,During interdiction an officer receives half salary pending investigation.,psr
PSR 2021,01-May,trial,A junior officer is classified as an officer on:,GL 05 and below,GL 06 and below,GL 07 and below,GL 08 and above,B,PSR defines junior officers as those on Grade Level 06 and below.,psr
PSR 2021,01-May,trial,Suspension in the public service means:,Temporary transfer,Removal with no pay,Promotion delay,Training leave,B,Suspension removes an officer from duty without salary.,psr
PSR 2021,01-May,trial,The administrative head of a Ministry is the:,Director General,Minister,Permanent Secretary,Head of Unit,C,The Permanent Secretary is the chief administrative and accounting officer.,psr
PSR 2021,01-May,trial,Established posts are funded under:,Capital budget,Personnel emoluments,Special grants,External loans,B,Established posts are those funded through personnel emoluments.,psr
PSR 2021,01-May,trial,Confirmation of appointment occurs after:,Probation period,First promotion,Training completion,Transfer,A,Confirmation follows successful completion of probation.,psr
PSR 2021,01-May,trial,Probation in public service is mainly used to:,Test suitability,Reduce salary,Delay promotion,Assign punishment,A,Probation evaluates an officer’s fitness for service.,psr
PSR 2021,01-May,trial,Public Service Rules regulate:,Private companies,Government employment,Foreign trade,Banking operations,B,PSR governs employment conditions in public service.,psr
PSR 2021,01-May,trial,An officer becomes permanent after:,Recruitment exam,Confirmation,First salary payment,Posting,B,Confirmation grants permanent appointment status.,psr
PSR 2021,01-May,exam,Interdiction is applied when:,Promotion is pending,Misconduct is suspected,Training is required,Transfer is requested,B,Interdiction is imposed pending investigation of misconduct.,psr
PSR 2021,01-May,exam,A confirmed officer enjoys:,Temporary status,Permanent status,Contract status,Trial status,B,Confirmation grants permanent employment status.,psr
PSR 2021,01-May,exam,Probation period allows government to:,Evaluate performance,Increase taxes,Reduce staff benefits,Change salary scale,A,Probation assesses suitability for service.,psr
PSR 2021,01-May,exam,A senior officer begins from:,GL 06,GL 07,GL 08,GL 09,B,Senior officers start from Grade Level 07.,psr
PSR 2021,01-May,exam,Suspension usually follows:,Promotion,Investigation,Transfer,Training,B,Suspension occurs during disciplinary investigation.,psr
PSR 2021,01-May,exam,The purpose of PSR is to:,Guide private firms,Standardize public service conduct,Control imports,Regulate banks,B,PSR standardizes conduct and procedures in public service.,psr
PSR 2021,01-May,exam,An officer under probation may be:,Confirmed or terminated,Automatically promoted,Transferred abroad,Given bonus,A,Probation may end in confirmation or termination.,psr
PSR 2021,01-May,exam,Interdiction protects:,Government integrity,Officer salary,Foreign policy,Trade unions,A,Interdiction safeguards integrity during investigation.,psr
PSR 2021,01-May,exam,Established posts are part of:,Permanent workforce,Temporary staff,Volunteer services,External contracts,A,Established posts form the permanent workforce.,psr
PSR 2021,01-May,exam,The Permanent Secretary reports to the:,Director,Minister,Auditor General,President,B,Permanent Secretaries are accountable to Ministers.,psr
PSR 2021,01-May,exam,Confirmation in the public service signifies:,Temporary employment,End of probation,Pension eligibility,Transfer approval,B,Confirmation marks successful completion of probation.,psr
PSR 2021,01-May,exam,An officer on suspension is barred from:,Receiving salary,Attending meetings,Using office transport,Applying for leave,A,Suspension removes salary privileges.,psr
